iter	Passed	Remaining
852	3234	557
853	3237	553
854	3241	549
855	3246	546
856	3249	542
857	3253	538
858	3257	534
859	3261	530
860	3264	527
861	3269	523
862	3272	519
863	3283	516
864	3286	512
865	3289	509
866	3293	505
867	3296	501
868	3300	497
869	3303	493
870	3306	489
871	3310	485
872	3314	482
873	3317	478
874	3321	474
875	3325	470
876	3328	466
877	3332	463
878	3336	459
879	3339	455
880	3342	451
881	3346	447
882	3350	443
883	3353	440
884	3356	436
885	3360	432
886	3363	428
887	3366	424
888	3369	420
889	3373	417
890	3377	413
891	3380	409
892	3383	405
893	3387	401
894	3390	397
895	3393	393
896	3396	390
897	3402	386
898	3408	382
899	3414	379
900	3427	376
901	3434	373
902	3440	369
903	3444	365
904	3447	361
905	3451	358
906	3455	354
907	3460	350
908	3465	346
909	3468	343
910	3472	339
911	3475	335
912	3479	331
913	3482	327
914	3485	323
915	3490	320
916	3493	316
917	3496	312
918	3500	308
919	3503	304
920	3507	300
921	3510	297
922	3514	293
923	3519	289
924	3522	285
925	3525	281
926	3529	277
927	3532	274
928	3535	270
929	3539	266
930	3542	262
931	3546	258
932	3549	254
933	3552	251
934	3556	247
935	3559	243
936	3562	239
937	3565	235
938	3569	231
939	3572	228
940	3575	224
941	3579	220
942	3582	216
943	3586	212
944	3589	208
945	3592	205
946	3596	201
947	3599	197
948	3602	193
949	3605	189
950	3609	185
951	3612	182
952	3615	178
953	3619	174
954	3623	170
955	3626	166
956	3629	163
957	3633	159
958	3636	155
959	3639	151
960	3642	147
961	3646	144
962	3649	140
963	3652	136
964	3656	132
965	3659	128
966	3663	125
967	3666	121
968	3670	117
969	3674	113
970	3677	109
971	3680	106
972	3684	102
973	3688	98
974	3691	94
975	3695	90
976	3699	87
977	3702	83
978	3705	79
979	3709	75
980	3713	71
981	3716	68
982	3719	64
983	3723	60
984	3726	56
985	3729	52
986	3733	49
987	3736	45
988	3740	41
989	3743	37
990	3746	34
991	3750	30
992	3753	26
993	3756	22
994	3759	18
995	3763	15
996	3767	11
997	3770	7
998	3773	3
999	3777	0
